A_Type_CompPad,B_Extd_CompPad,C_Extd_Frame_Btm,D_Extd_SideBeam,E_ThermalResin_Thx,F_dt_Cell,G_MaxT,Time_TR_Adj_1,Time_TR_Adj_2
PU,4.052240437,23.5898725,45.30211293,5.781967213,18.95081967,1287.35765,3545,2676
Aerogel,5.629344262,16.33606557,36.34335155,5.207814208,19.91256831,1323.969672,3186,3506
Si,5.970928962,22.45373406,42.35227687,4.044972678,19.59198543,1409.215574,3580,3840
PU,3.230983607,33.98990893,38.74692168,3.957759563,16.06557377,1564.406831,1771,2012
Si,4.909836066,30.05712204,47.76030965,5.694754098,7.030965392,1573.15,3455,3651
Aerogel,2.053606557,32.32939891,32.08247723,2.300710383,19.21311475,1568.231967,1788,2349
Si,4.99704918,34.95125683,49.78149363,2.16989071,10.09107468,1402.658197,2721,2889
Aerogel,3.543497268,26.08063752,46.23076503,2.082677596,12.27686703,1503.204645,1499,1895
Aerogel,2.329781421,18.9579235,22.14043716,4.706338798,17.26047359,1335.445082,2212,2461
Si,2.903934426,31.97981785,21.10253188,3.579836066,10.23679417,1495.007924,2309,2487
Aerogel,2.380655738,18.9579235,45.90300546,2.962076503,12.62659381,1363.313934,1579,1961
Si,5.476721312,26.736102,35.9063388,3.630710383,12.36429873,1506.483333,2603,2869
Aerogel,2.533278689,21.40499089,39.02005465,5.215081967,14.63752277,1295.007924,3044,2906
Aerogel,4.066775956,12.44697632,29.62428051,5.600273224,11.83970856,1470.964208,1614,2088
Aerogel,3.536229508,15.98648452,39.67557377,4.444699454,9.012750455,1498.286612,1417,1773
Aerogel,5.818306011,23.98315118,42.68003643,2.119016393,4.87431694,1318.505191,1606,1701
Aerogel,5.83284153,19.65708561,49.45373406,4.139453552,6.943533698,1420.144536,2041,2216
Aerogel,3.201912568,13.62681239,23.17834244,2.954808743,17.49362477,1366.046175,1405,2238
Si,2.467868852,26.60500911,46.34001822,3.216448087,6.885245902,1304.843989,2751,2813
Si,5.142404372,12.22848816,28.31324226,5.614808743,19.27140255,1461.128142,2761,3434
Aerogel,3.572568306,28.65879781,23.01446266,3.877814208,19.59198543,1295.007924,4055,3359
PU,3.558032787,27.9596357,34.37679417,5.854644809,14.63752277,1498.286612,1943,1974
Si,4.124918033,21.66717668,28.25861566,5.803770492,11.48998179,1317.958743,4143,4405
PU,2.605956284,30.4067031,33.83052823,2.642295082,6.535519126,1536.537978,696,948
Aerogel,4.728142077,25.42517304,48.68896175,2.635027322,6.18579235,1504.297541,1467,1674
Aerogel,5.970928962,29.09577414,21.15715847,3.114699454,13.76320583,1305.390437,3011,2931
Si,3.645245902,16.68564663,29.40577413,3.703387978,16.38615665,1484.078962,2080,2639
Si,3.201912568,19.52599271,25.96429873,5.636612022,5.74863388,1336.537978,3073,3075
Aerogel,5.883715847,34.7764663,44.81047359,4.437431694,19.82513661,1554.570765,3690,3680
Si,5.149672131,23.80836066,48.90746812,3.732459016,17.63934426,1517.958743,2885,3310
PU,5.513060109,12.09739526,37.49051002,3.703387978,5.690346084,1551.292077,556,890
Aerogel,3.957759563,22.14785064,31.75471767,3.303661202,7.089253188,1536.537978,1239,1513
PU,4.074043716,19.52599271,28.20398907,4.83715847,19.67941712,1530.527049,1338,2330
Aerogel,4.640928962,19.70078324,21.15715847,2.104480874,16.24043716,1278.068033,1869,2274
PU,2.148087432,20.88061931,49.67224044,4.50284153,11.51912568,1566.592623,877,1481
PU,4.473770492,35.69411658,40.87735883,2.642295082,11.51912568,1306.483333,2386,1911
PU,2.01,14.67555556,42.51615665,4.401092896,10.84881603,1355.117213,818,1408
Aerogel,4.648196721,27.21677596,26.29205829,4.531912568,17.55191257,1446.920492,2908,3001
Aerogel,3.601639344,27.69744991,32.79262295,2.642295082,10.96539162,1382.439618,1872,2062
Si,4.640928962,31.28065574,42.35227687,3.034754098,4.174863388,1381.893169,2589,2726
Aerogel,2.940273224,28.61510018,35.25081967,5.091530055,14.02550091,1534.898634,2370,2548
Aerogel,5.454918033,30.75628415,30.17054645,4.582786885,11.2859745,1562.767486,2437,2589
PU,2.642295082,23.5898725,24.48938069,4.277540984,7.992714026,1387.904098,960,1172
Aerogel,2.300710383,14.63185792,37.54513661,5.912786885,5.369763206,1516.319399,1151,1366
PU,3.906885246,12.31588342,20.55626594,5.207814208,17.61020036,1288.450546,1194,2141
Aerogel,3.950491803,29.83863388,25.69116576,2.627759563,12.59744991,1422.876776,1926,2104
