A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj
15.49067139,Si1,1.019880653,PU,1.102494507,2.066936095,1,425.4608992
15.8332085,Si1,0.889060685,PU,1.424345945,1.392055961,1,429.3495893
15.27170556,Si1,0.87040581,PU,1.559836795,1.75127271,1,424.9020236
15.37677329,Si1,0.87727333,PU,1.539062137,1.677645591,1,427.5778688
10.00993947,Si2,1.272518794,Si2,1.346053585,1.915701198,1,345.6606566
9.326499804,Si2,1.361908278,Si2,1.1395742,1.404704769,1,325.8788978
12.53532518,A2,1.42133745,Si1,1.155776434,0.657106195,1,379.0608048
8.626625174,A2,1.429525339,Si1,1.98350394,1.918375037,1,327.8402842
8.140346246,Si2,1.476758394,PU,1.225334345,1.809060101,0,309.3579973
9.802033911,Si2,1.237290324,Si2,1.615046949,1.780971141,1,340.2787597
8.075063241,Si2,1.454322957,PU,1.268276085,1.872995736,0,308.7359367
13.74379407,Si1,0.822480325,PU,1.825271303,1.871227439,0,408.6095248
12.37295934,Si1,0.998084473,PU,1.370997902,2.096885173,0,388.7193563
10.45174116,A1,0.928235109,Si3,2.07629365,0.755391622,1,349.0422438
10.1090455,A1,1.07841895,Si1,1.71457318,0.805901735,1,343.3399676
10.10728133,Si2,1.243057212,Si2,1.403129762,1.999397571,1,347.094762
10.58115394,A2,1.284068694,Si1,2.213857315,0.523887962,1,345.8573485
15.97100798,Si2,0.63557415,PU,2.650360257,2.164020902,0,426.528061
11.90748602,Si1,0.758804258,PU,2.238006439,2.48812259,0,385.0759928
9.917098218,Si1,1.170285533,PU,1.262966767,2.397048263,1,350.2157557
15.96912273,Si1,0.909996536,PU,1.543942257,2.401546387,1,431.785837
15.66164023,Si1,0.989396198,PU,1.32543227,2.358197047,1,429.1606685
8.464429441,A1,0.266553568,PU,2.515364023,1.308917446,1,357.7157356
15.77100419,A2,1.420704731,PU,1.285498317,0.793556923,0,411.3548067
9.34081625,Si2,1.132998243,Si2,2.811815186,1.172306124,0,327.3835517
14.76330302,A2,1.295224781,PU,1.656213945,1.091993601,0,407.5129687
14.10049527,A2,1.438925954,PU,1.27134062,0.761553155,1,396.0861457
14.4644369,A2,1.411090419,PU,1.335294748,0.516442882,0,398.3817482
10.84921729,A2,1.568839462,PU,1.277718958,0.55880712,1,348.7643967
11.99531356,Si1,1.032611389,Si1,1.509510302,0.765582112,0,372.233034
15.75809385,Si2,1.135433154,PU,1.510936149,2.301511352,0,420.2923021
13.80987156,Si2,1.29304783,Si2,1.106436661,1.846432162,0,395.9246842
13.29049637,A1,1.06833518,PU,1.32330745,0.73435535,0,389.0728859
8.119785501,A1,1.146283865,Si1,2.797714854,1.165515651,0,311.5780582
8.321307008,A1,0.990070232,Si3,2.956550316,1.246228292,1,319.8337657
11.05446116,A1,1.198923265,PU,1.16531592,1.031942684,1,358.6098488
9.384710878,Si2,1.062975234,Si2,2.532505237,2.125489182,0,338.6233172
11.11552757,A1,1.176102745,PU,1.307933727,0.712807937,1,354.999718
13.93458349,A1,0.926900498,PU,1.729642227,0.618187732,0,399.1794656
9.295005881,Si2,1.264909277,Si2,2.264449289,1.154844333,0,323.6538708
15.77881606,Si1,0.36569544,Si1,2.982010614,0.836322847,1,432.021399
11.94163693,Si1,0.735371558,Si1,2.573932482,2.49062223,0,384.5123768
9.425216166,A2,1.194484569,Si3,2.659262629,2.452050453,1,344.8146019
15.91213588,A2,2.482686677,PU,1.116704103,2.204847105,0,382.780532
15.31586121,Si2,2.491301553,PU,1.105197064,2.324930946,0,360.3096509
