A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_T_Garph,Time_MaxT,Time_Max_Power
-1.644586949,-0.584225199,-0.836190225,-0.082615414,A1,Si3,1,519.835265,886.3673759,0.000259735,0.003896029,-1132.149041,23.5,81.000001,75.1
-0.607464056,1.244508329,0.630104339,-0.320977157,A1,Si3,0,305.4375127,252.0057639,0.000285663,0.055173686,-841.3450469,23.5,230.5,89.8
-1.98023955,-0.527367276,-0.76940376,0.949465706,A2,PU,1,503.2503007,846.5753328,0.000251344,0.004272848,-1121.430036,23.5,77.000001,72.5
-1.39121602,-0.461555234,0.410751216,-0.346750141,A2,PU,1,384.4457993,603.0413156,0.00026607,0.04815858,-1100.250167,23.5,105.000001,82.1
-0.849284423,0.459742851,0.377436037,1.266637593,A2,PU,0,365.8894942,282.3583496,0.00139809,0.055432172,-1019.561083,23.50000001,209.4,85.4
2.456090271,-0.580952892,0.602397488,1.468686194,A2,PU,1,457.7884174,880.4072225,-0.00326027,0.04021,-1357.727583,23.50000001,166.000001,93
3.243470524,0.35548389,0.961742583,1.051140417,A2,PU,0,422.2224218,267.204284,0.000381937,0.055249446,-1263.609123,23.5,242.6,101
0.343389338,-0.347335436,0.642446696,0.745784684,A2,PU,1,414.8270611,550.7732589,0.000309435,0.042392557,-1182.228299,23.5,140.000001,87.7
-4.191796847,-0.513658747,0.92650417,1.01399067,A2,PU,1,347.0159485,562.1614483,0.000196055,0.046465035,-946.5520996,23.5,89.000001,69.1
-2.999068574,0.690763213,-0.328981212,0.203185704,A2,PU,1,326.4827593,626.3202143,0.00067762,0.044948777,-856.0400866,23.5,147.000001,80.2
2.158618468,-0.331540026,-0.336520339,0.570648437,A2,PU,1,451.0273941,877.250128,0.000354816,0.043642307,-1313.535709,23.5,147.000001,94.3
0.218358318,0.967821594,0.815137091,0.140013845,A2,PU,0,351.1829676,267.2791607,-0.001531545,0.055317806,-985.5881245,23.5,220.5,91
-3.126868741,-0.518711993,-0.134811404,0.286827926,A2,Si1,1,362.4608202,584.8661469,-0.000222678,0.050547963,-1027.77505,23.5,90.000001,73.2
3.115324634,-0.599647618,-0.183964856,0.845437049,A2,Si1,1,475.3219312,555.813062,0.001136199,0.048099091,-1425.342363,23.5,153.000001,96.9
2.760123294,1.645568875,0.586978264,1.197455934,A2,Si1,0,372.6796604,248.6909264,0.000369853,0.055119122,-1058.397441,23.5,263.8,104.6
0.797930892,0.05474678,0.998108391,0.921125329,A2,Si1,0,399.3969553,281.716262,-0.000320798,0.055338652,-1156.024377,23.5,213.8,91.3
-0.382938147,0.414748479,-0.629305858,1.231449373,A2,Si1,1,383.4870596,600.3838465,-0.028253825,0.037574675,-1088.968118,23.5,171.000001,89.5
-1.682268218,-0.263836219,0.342360793,1.23030935,A2,Si1,1,382.2188609,518.8820775,0.00077638,0.046841578,-1069.566132,23.50000001,116.000001,81.9
-2.274611045,-0.59858016,0.965475963,-0.071357799,A2,Si1,1,371.7706262,677.5803219,0.000243985,0.047577026,-1060.861457,23.5,95.000001,76.7
3.009226583,0.723624499,0.8763941,-0.398945074,A2,Si1,0,403.3529834,253.6528392,0.000376081,0.055203895,-1186.068926,23.5,224.4,103.7
2.904277807,-0.04049802,0.251241416,0.898859952,A2,Si1,0,441.7240556,280.761126,0.000373457,0.055385818,-1365.715182,23.5,233.3,97.7
-0.198940152,0.261618543,-0.055832124,0.354851032,A2,Si1,0,383.076905,324.8523372,-0.000295877,0.035801057,-1119.578285,23.5,199.7,86.7
-0.522967688,0.039844653,0.106930608,0.614585766,A2,Si2,1,387.7249686,555.1436736,-0.00892105,0.03769863,-1121.628512,23.5,149.000001,85.8
0.109709476,0.087246511,0.984364221,0.727310428,A2,Si2,0,387.6997582,284.8289611,0.001517964,0.055376938,-1116.099573,23.5,209.4,87.2
2.253416371,0.258812203,-0.709499804,-0.048398699,A2,Si2,0,420.6739627,281.272229,-0.000357186,0.055253284,-1235.4457,23.5,197.5,90
2.007166131,0.53536366,-0.294984115,1.493874902,A2,Si2,0,413.0831485,274.965713,-0.002457205,0.055130282,-1248.813251,23.50000001,234.6,97.2
3.534409966,-0.599955328,0.156395756,0.984433846,A2,Si2,1,477.2823994,881.9727189,-0.00038921,0.041645497,-1458.292847,23.5,181.000001,98.3
-3.562499365,-0.366994404,0.224752046,1.481664322,A2,Si2,1,354.6551971,539.4589212,-0.001058938,0.048922913,-973.1140817,23.50000001,96.000001,73.5
3.465518812,-0.057568865,0.619083356,1.098009531,A2,Si2,0,446.3799639,275.2233572,-0.000387488,0.055261648,-1380.22301,23.5,245.5,99.9
2.617546311,-0.108994116,0.809999751,0.052087859,A2,Si2,0,431.0778913,276.4096037,-0.000366289,0.055221656,-1303.006292,23.5,216,95.9
-4.117997271,0.182523113,0.979355092,1.379547534,A2,Si2,1,333.5505488,950.2348105,0.0001979,0.0476939,-852.9762253,23.5,121.000001,72.3
-3.659486397,1.501309017,0.033983308,1.350207744,A2,Si2,0,285.8225592,267.3977404,0.000628088,0.055385883,-719.0801482,23.50000001,188.7,76.2
-1.033211806,-0.580405234,0.67899967,-0.029204401,A2,Si3,1,397.1197759,582.5383727,0.000825059,0.048128456,-1131.155099,23.5,106.000001,80.3
-2.94220691,1.092071446,0.935859878,0.66738732,A2,Si3,0,304.0855584,275.6093864,0.002045653,0.055252665,-798.7985152,23.5,199.3,77.9
1.628138727,0.984821008,-0.6447854,-0.425805886,A2,Si3,0,379.0048058,271.5227026,0.002390875,0.055415834,-1137.587991,23.5,214.8,98.1
2.525531284,-0.136710704,0.450782088,0.264231188,A2,Si3,0,438.1166901,281.8466241,0.002547918,0.055413107,-1338.54147,23.5,217.8,95.3
-1.268401462,0.327040279,0.332549542,0.657828306,A2,Si3,0,362.6474983,331.7556903,0.00026914,0.03418078,-1010.599816,23.5,181.2,83.9
2.190081817,0.835752139,-0.111960472,1.15734973,A2,Si3,0,398.9894858,268.7334405,0.000355602,0.055131354,-1190.689484,23.50000001,237.2,99.1
-3.375676053,-0.405069639,-0.532174765,1.173479148,A2,Si3,1,361.1357736,541.3915841,0.000216458,0.052166378,-1012.943479,23.50000001,92.000001,74.7
0.625044109,-0.217316395,0.515244585,1.289352106,A2,Si3,1,416.9028838,795.9876649,0.023735708,0.035761799,-1185.795625,23.5,169.000001,89.6
-2.71404727,-0.389077092,-0.405694821,-0.463986236,A2,Si3,1,367.496049,791.8143412,0.000232999,0.046366751,-1031.920313,23.5,95.000001,76.5
-3.886294097,1.407721311,-0.09876007,1.49155864,A2,Si3,0,286.8302646,269.8621699,0.000611078,0.055452214,-716.7943785,23.50000001,182,75.1
