A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,TP_NoTP,MaxT_Adj
9.138295103,1.669358447,2.990418766,2.423722522,Si2,Si2,0,300.4976226
9.246117339,0.361006836,1.298058883,0.736785741,Si2,Si2,1,479.6840019
14.16627696,1.465677558,2.952419618,2.386349787,Si2,Si2,0,380.0996356
12.32821413,1.778361247,2.267739574,0.789856393,Si2,Si2,0,336.9863311
15.2436584,0.555878138,1.768984476,1.828789635,Si2,Si2,0,451.0859771
13.21918765,0.430191822,2.74830114,1.224349687,Si2,Si2,1,413.8841723
10.60982016,0.273127681,2.869401634,2.182236963,Si2,Si2,1,382.068991
10.6600977,0.472286762,2.075385461,2.219935169,Si2,Si2,1,383.2085694
11.51949112,2.070768931,2.204851272,2.135715952,Si2,Si2,0,319.3524591
8.484104513,2.239274545,2.801671295,0.631867836,Si2,Si2,0,259.3583601
11.83716332,1.424746312,2.668224334,2.078645547,Si3,PU,0,354.7254805
13.95889953,1.05624275,2.162068925,1.515823215,Si3,PU,0,406.8867586
10.07453349,0.695796592,1.574776949,2.456949375,Si3,PU,1,372.3778844
15.67589493,1.250810094,2.772691804,2.486952382,Si3,PU,0,417.5323508
12.81380849,0.353741239,2.381566852,1.0396576,Si3,PU,1,418.5006001
11.66374048,2.143403329,1.726923981,1.798781154,Si3,PU,0,329.7994613
14.24849488,0.749027079,1.100360393,2.121244762,Si3,PU,1,441.0205344
9.650298722,1.372214926,1.922553585,0.877608982,Si3,PU,1,325.532731
8.336191355,2.020053983,2.969490519,2.408600448,Si3,PU,0,283.5785482
11.98213847,0.308510374,2.729364383,2.278169762,Si3,PU,1,409.0189304
15.11664968,2.11831754,1.779040768,1.334232366,Si3,Si3,0,379.0153489
12.36747278,1.510747336,2.192115861,2.203831889,Si3,Si3,0,364.583616
13.47577167,0.286784561,1.957538219,0.863500976,Si3,Si3,1,437.5428962
10.452413,0.990541388,2.932191441,2.449053935,Si3,Si3,0,353.3960919
9.916157265,0.280684413,2.542523717,1.373135591,Si3,Si3,1,370.6202382
9.029494802,1.280287533,2.362152998,1.286003305,Si3,Si3,1,326.0397094
11.28436278,1.143465421,2.94439274,1.429404768,Si3,Si3,0,353.1659619
12.79735546,0.392800991,2.404925715,2.355441441,Si3,Si3,1,422.4205266
15.07084067,1.8949633,2.918199277,2.452109946,Si3,Si3,0,383.1019671
10.31917393,0.340038328,1.214918418,1.90381655,Si3,Si3,1,474.0943903
12.53382048,0.439714663,2.894862314,0.817063793,A1,PU,1,393.6637665
13.74771502,2.200820337,2.957352237,1.413701521,A1,PU,0,333.831459
9.841409571,0.295212534,1.410684476,2.497498194,A1,PU,1,375.9677733
10.37584175,0.637133653,2.886602691,1.843221049,A1,PU,1,361.5094499
8.416658988,2.444229612,2.652490647,2.108983389,A1,PU,0,260.1386261
13.57615584,0.657681671,2.722168255,2.397046885,A1,PU,0,405.5812
9.808567501,0.686140613,2.021095745,1.477222205,A1,PU,1,357.2990701
