A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power
8.837500635,A2,0.483005596,Si2,2.224752046,2.481664322,1,366.626373,0.000211788,0.048075763,953.8610084
15.86551881,A2,0.792431135,Si2,2.619083356,2.098009531,1,433.456544,0.000387488,0.037586336,1409.115127
15.01754631,A2,0.741005884,Si2,2.809999751,1.052087859,1,422.665165,-0.004761754,0.034064854,1322.518343
8.282002729,A2,1.032523113,Si2,2.979355092,2.379547534,1,336.1630188,-0.0001979,0.0393821,840.527586
8.740513603,A2,2.351309017,Si2,2.033983308,2.350207744,0,291.3035203,0.000628088,0.055385883,711.2868756
11.36678819,A2,0.269594766,Si3,2.67899967,0.970795599,1,400.165064,0.001925138,0.045378259,1123.725383
9.45779309,A2,1.942071446,Si3,2.935859878,1.66738732,0,308.8187212,0.002045653,0.055252665,793.0791355
14.02813873,A2,1.834821008,Si3,1.3552146,0.574194114,0,374.7668385,0.002390875,0.055415834,1145.448742
14.92553128,A2,0.713289296,Si3,2.450782088,1.264231188,1,429.8838842,0.000363988,0.043314602,1359.214853
11.13159854,A2,1.177040279,Si3,2.332549542,1.657828306,0,364.983122,0.00026914,0.05520228,1002.760262
14.59008182,A2,1.685752139,Si3,1.888039528,2.15734973,0,393.2390852,0.000355602,0.055131354,1201.335339
9.024323947,A2,0.444930361,Si3,1.467825235,2.173479148,1,370.3732251,0.000216458,0.05086763,990.498518
13.02504411,A2,0.632683605,Si3,2.515244585,2.289352106,1,415.2311564,0.000316476,0.037027704,1222.77572
9.68595273,A2,0.460922908,Si3,1.594305179,0.536013764,1,375.862723,0.000232999,0.044036764,1017.338411
8.513705903,A2,2.257721311,Si3,1.90123993,2.49155864,0,292.3628725,0.000611078,0.055452214,710.0891373
9.330331762,Si1,0.92178501,PU,2.572407416,2.435898929,0,342.8522565,-0.000224108,0.043701109,896.9810968
12.25243127,Si1,0.416154442,PU,2.50937448,1.494855071,1,400.871615,-0.000297161,0.037145097,1128.621905
15.99784895,Si1,0.667901357,PU,2.492686893,1.376815604,0,423.6383574,-0.000390796,0.055105738,1361.002466
12.44163864,Si1,0.87431184,PU,1.487112643,0.726231897,1,386.1064297,0.044981754,0.034113679,1147.74574
12.69018741,Si1,1.976248701,PU,2.688905399,1.995830868,0,331.9071334,-0.001540523,0.055171316,908.4626265
