TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,1,False,0.9438296319759729,0.056170368024027084,False,0.4438296319759729,0.258135540435977,0_1_3_3,12.96308161,0.838110934,2.849597858,2.450983463,Si1,PU,combo_001,46,292.4835198,882.0806704,-0.006613467,0.029918065,1256.008597,Itr_1,,31.772298655629417,2.3882791222927797,293.35762924834825
0,0,0,False,0.11266916103272706,0.8873308389672729,False,0.38733083896727294,0.18171200480898375,0_0_1_0,13.1239063,0.547659429,1.696203946,0.567925676,Si1,PU,combo_001,50,288.8643354,319.5670036,-0.004784216,0.052034768,1364.26726,,,7.453403357188159,0.9289420845339068,291.1307881164393
0,0,0,False,0.010129925613796331,0.9898700743862037,False,0.48987007438620367,0.2565882251198159,3_3_1_3,18.78138005,1.881554495,1.667161109,2.07016464,Si1,PU,combo_001,52,262.8411628,258.4785571,-0.001381154,0.051981532,1151.262718,,,38.88054886991143,3.136854478528135,265.386501661253
0,0,0,False,2.1896629959883285e-05,0.9999781033700401,False,0.4999781033700401,0.25147677558099,0_2_2_0,12.75205068,1.198319507,2.429543852,0.647733729,Si1,PU,combo_001,53,243.5700575,241.5717466,-0.005264071,0.052210705,1145.79268,,,8.259933339353386,2.911369790963521,248.19843758826056
0,0,0,False,9.726066991788684e-07,0.9999990273933008,False,0.4999990273933008,0.17737474333072226,1_2_1_0,15.9985666,1.397432909,1.611685025,0.873635037,Si1,PU,combo_001,54,258.633114,255.5632158,-0.003517328,0.051993736,1176.469471,,,13.976908323537964,2.252221692877488,256.10468573298397
0,0,0,False,0.0020867847309773424,0.9979132152690227,False,0.49791321526902266,0.32030164299528324,2_3_3_3,17.11016438,1.832971224,2.994408202,2.147021007,Si1,PU,combo_001,56,247.8322433,242.9064207,-0.005441852,0.052153448,1090.959253,,,36.735882357083135,5.488664067175579,246.84665677890843
1,1,1,False,0.9989043594561053,0.0010956405438946604,False,0.49890435945610534,0.14564916476821457,3_1_1_1,19.48887372,1.07280418,1.913047099,1.421626858,Si1,Si1,combo_002,1,312.9253463,657.8628443,-0.005258789,0.020557085,1294.142068,,,27.705906312522373,2.0523249243440738,329.14640059928587
1,1,1,False,0.9914165333013898,0.00858346669861021,False,0.4914165333013898,0.08407328774643347,2_1_0_2,16.15998954,1.05771777,1.224707966,1.834446506,Si1,PU,combo_001,3,324.0583934,821.0070479,-0.005133047,0.014609441,1299.435835,,,29.64463634864955,1.2953953786987558,306.27326785178735
0,0,0,False,0.10654064917355299,0.893459350826447,False,0.393459350826447,0.11414930562576897,2_1_2_2,17.87451634,1.032736554,2.460078924,1.5422751,Si1,Si1,combo_002,4,312.1300466,333.4837263,-0.000438,0.052025067,1256.91049,,,27.56742147572513,2.540613430539788,303.36930585781664
1,1,1,False,0.9999979908577643,2.009142235692707e-06,False,0.4999979908577643,0.18611753827502273,3_1_0_1,19.61601396,1.051327636,1.167887765,1.375243117,Si1,PU,combo_001,5,308.73783,795.5817597,-0.002406251,0.036093769,1357.711572,,,26.97678818146591,1.2278326830907733,345.15193528314
1,1,1,False,0.9999504501745378,4.9549825462236186e-05,False,0.49995045017453776,0.13927217079479323,3_1_2_1,19.6863917,1.020742006,2.361074252,1.303241372,Si1,PU,combo_001,6,306.5708888,874.8059083,-0.002415049,0.024633497,1317.211614,,,25.656120128837415,2.41004766830143,335.4750231418579
0,0,0,False,4.732336890356237e-05,0.9999526766310964,False,0.49995267663109644,0.15910620238528164,1_1_3_2,15.66787669,1.058210344,2.989506512,1.93405104,Si1,Si1,combo_002,7,275.8525072,288.8091117,-0.006503298,0.05221319,1198.014325,,,30.30247320688626,3.16352671445376,273.23989099327025
1,1,1,False,0.9777704011165724,0.02222959888342757,False,0.47777040111657243,0.08407328774643347,2_1_0_2,16.45363045,1.008649694,1.280895259,1.707004694,Si1,Si1,combo_002,8,311.079588,560.5963889,-0.007641624,0.025338017,1301.130906,,,28.086424411491333,1.2919746110364008,308.3401403456523
0,0,0,False,0.06728598370330019,0.9327140162966998,False,0.4327140162966998,0.14474429167777617,2_1_3_2,16.44594853,1.039418783,2.638396516,1.751894624,Si1,PU,combo_001,9,294.7007925,311.8123484,-0.004421986,0.051927918,1249.818135,,,28.8115688162877,2.7423988957321597,300.88933491463007
1,1,0,True,0.21254767088851168,0.7874523291114883,False,0.2874523291114883,0.06875457739219755,0_1_1_3,12.17450815,0.954668269,2.0137605,2.448021916,Si1,Si1,combo_002,10,271.6831572,886.138147,-0.003837766,0.046348402,1216.264224,,,29.803462767720614,1.9224732507155746,271.54613021371455
1,1,1,False,0.6387019019399531,0.36129809806004687,False,0.13870190193995313,0.13100445199628066,1_1_1_2,15.91340396,1.072032294,1.739697257,1.910389502,Si1,PU,combo_001,11,316.412194,581.1649795,-0.02060031,0.026041902,1268.90539,,,30.400799866269228,1.8650116412872175,304.6180631507062
0,0,0,False,0.08174072325550696,0.918259276744493,False,0.41825927674449304,0.18267392913304936,1_1_2_2,15.25978249,1.001313411,2.469103847,1.867260402,Si1,PU,combo_001,12,302.7470088,327.0618502,-0.003351101,0.052264119,1250.319196,,,28.49398758670996,2.472346795152792,291.7518324959227
1,1,1,False,0.9971069767231029,0.002893023276897111,False,0.4971069767231029,0.16558661651792225,3_2_2_3,19.79022819,1.187194114,2.187146424,2.42816157,Si1,Si1,combo_002,14,314.3158915,673.0878788,-0.002428029,0.021852259,1284.530613,,,48.05387155248866,2.596567361028948,333.4019041912139
1,1,1,False,0.9926964508348419,0.007303549165158074,False,0.4926964508348419,0.20169097268485592,2_2_0_3,17.50806028,1.183185973,1.238193894,2.447746755,Si1,Si1,combo_002,15,327.4362129,664.1668643,-0.002999861,0.010713787,1273.627847,,,42.855297736714384,1.4650136472350488,319.7238022990319
1,1,1,False,0.9998772289604858,0.00012277103951419122,False,0.4998772289604858,0.05797588051207281,3_1_3_2,19.36472206,1.07212326,2.7627171,1.832657491,Si1,PU,combo_001,16,311.2066824,625.5957549,-0.00237484,0.024223368,1290.580156,,,35.488902944391945,2.961973263709746,331.6764386924856
1,1,1,False,0.9999857243068391,1.4275693160925584e-05,False,0.4999857243068391,0.24184635103701818,3_1_1_3,19.42079795,0.871383295,1.900512871,2.492395438,Si1,Si1,combo_002,17,312.7725947,889.6352337,-0.00524007,0.03096405,1379.422525,,,48.40430821289975,1.6560751677218901,368.9183975885951
1,1,1,False,0.9969182208275242,0.0030817791724757626,False,0.49691822082752424,0.05441330971149214,3_1_2_2,18.27718379,1.056774647,2.239840708,1.527581188,Si1,PU,combo_001,2,337.4758857,656.3098357,-0.004030015,0.011194488,1288.916264,Itr_2,,27.919882127222543,2.36700687353293,324.4568287188211
1,1,1,False,0.5881704664421932,0.4118295335578068,True,0.08817046644219317,0.10965008871565946,0_1_1_3,12.53581065,0.885879093,1.909329157,2.181687159,Si1,Si1,combo_002,13,279.3953433,532.026863,-0.004563679,0.037422166,1244.686509,,,27.349217122760443,1.6914347818416147,278.76141603573535
0,0,0,False,0.003332514708404233,0.9966674852915958,False,0.49666748529159577,0.20371592937737945,2_2_1_3,17.12711344,1.47384866,1.802604379,2.379817607,Si1,PU,combo_001,18,278.7939425,289.7898944,-0.004609305,0.052179721,1189.853694,,,40.75940612159834,2.656766048499282,283.3534545198379
0,0,0,False,0.021897421948096962,0.978102578051903,False,0.47810257805190304,0.1315925568496823,2_2_2_3,16.17235204,1.248610739,2.155314859,2.471342702,Si1,PU,combo_001,1,288.9860162,305.9819531,-0.007508017,0.052280481,1210.333765,,,39.96742418822881,2.691149278873671,292.02394769432755
1,1,1,False,0.9946050617373885,0.005394938262611504,False,0.4946050617373885,0.15362296810707046,3_0_3_0,18.57622385,0.640512226,2.977544632,0.538406884,Si1,PU,combo_001,2,301.6187938,574.3403537,-0.002276277,0.03141263,1385.989332,,,10.001566799564985,1.9071537402566707,321.0702042022785
0,0,0,False,0.05190814542027056,0.9480918545797294,False,0.44809185457972944,0.09566646133248408,0_0_3_0,12.22053439,0.396077789,2.89705266,0.510498624,Si1,PU,combo_001,3,283.1548566,313.2823058,-0.004445449,0.052279966,1357.782011,,,6.238565990639679,1.1474582121893688,283.19993767126573
1,1,1,False,0.9997070911555284,0.0002929088444716399,False,0.49970709115552836,0.12198278204277335,3_1_3_0,19.81188328,0.745306681,2.673067517,0.595807313,Si1,PU,combo_001,4,303.0506776,566.3449226,-0.002430735,0.037433319,1383.566274,,,11.804064942526427,1.9922550791841809,328.4884743037435
0,0,0,False,0.31848318148445287,0.6815168185155471,False,0.18151681851554713,0.15462237995689757,2_2_2_3,17.5650182,1.196808624,2.523332595,2.131832183,Si1,PU,combo_001,5,303.9910284,320.0344705,-0.005589682,0.05199853,1232.796751,,,37.445671093740735,3.019946210916299,303.48531011528615
1,1,1,False,0.9990802734029103,0.0009197265970897206,False,0.4990802734029103,0.13769140456439508,3_0_3_0,18.54455506,0.637683672,2.687317617,0.506857123,Si1,PU,combo_001,6,302.8630017,865.765524,-0.00227232,0.026813376,1394.482982,,,9.399439825026692,1.7136585658388497,309.14126844612076
0,0,0,False,0.016124674744219192,0.9838753252557808,False,0.4838753252557808,0.1420870097455365,2_2_2_3,16.05829916,1.138745852,2.508241168,2.24787655,Si1,PU,combo_001,7,290.5135992,307.8111802,-0.004315382,0.052092293,1224.644834,,,36.0970741146487,2.856249225875635,289.15146650986225
0,0,0,False,0.05197458387112874,0.9480254161288713,False,0.44802541612887126,0.09566646133248408,0_0_3_0,12.14723223,0.440421288,2.820875121,0.67564776,Si1,PU,combo_001,8,281.5730928,309.9305221,-0.004417961,0.052118706,1347.673605,,,8.207250246399305,1.2423734540779758,282.6475394094449
