TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,1,False,0.7770654055537989,0.22293459444620112,False,0.2770654055537989,0.09691515386695852,0_0_2_3,8.83492483,0.325907438,2.192215557,2.245176059,Si1,PU,combo_001,43,369.8152114,596.7793676,0.000211723,0.051872135,997.6670861,91.000002,73.4,19.835961711380644,0.7144593557256129,374.54264096623155
1,1,1,False,0.8636973950597167,0.13630260494028335,False,0.36369739505971665,0.2453917187381793,2_0_1_3,12.86541456,0.610748297,2.01519163,2.218770664,Si1,PU,combo_001,44,419.0731139,586.2255386,-0.00406231,0.045310379,1255.90826,140.000002,87.4,28.545404405926465,1.230774856151154,411.5716786425287
1,1,1,False,0.8026658104403168,0.19733418955968318,False,0.3026658104403168,0.1907790446454013,0_0_3_0,8.466458568,0.297052367,2.994715459,0.684314092,Si1,PU,combo_001,45,359.6291324,562.4920874,-0.000202512,0.052450479,966.7177285,89.000002,71.5,5.793716907416541,0.8895873155874414,352.1833684587795
1,1,1,False,0.7192568227197285,0.28074317728027154,False,0.21925682271972846,0.24884516354466238,2_0_2_2,13.38521175,0.341091775,2.243791187,1.83077373,Si1,PU,combo_001,46,435.5061574,922.8754942,-0.00032548,0.047845604,1278.952242,112.000002,88.9,24.505294042387327,0.7653387187031868,419.61220703891905
0,0,0,False,0.19675059308110576,0.8032494069188942,False,0.30324940691889424,0.34259095826306823,0_2_3_0,9.700130913,1.283564772,2.946300484,0.561512309,Si1,PU,combo_001,47,307.6863618,271.3443933,0.001166766,0.055285684,815.1150685,193.7,79.2,5.4467429065609085,3.78176750898895,312.2022406286131
0,0,1,True,0.7332590220968882,0.2667409779031118,False,0.2332590220968882,0.30226901605542494,2_2_0_2,12.9603813,1.360298125,1.543282061,2.003290602,Si1,PU,combo_001,48,370.4875891,271.6779062,0.00031486,0.055142779,1055.693373,226.4,91.5,25.96341005662654,2.0993236939244353,369.96967610880677
1,1,1,False,0.7864658174396482,0.21353418256035184,False,0.28646581743964816,0.17408004092732726,1_0_1_2,10.48311942,0.360556347,1.906440976,1.749206131,Si1,PU,combo_001,49,390.6103468,888.24837,-0.000252928,0.04932096,1091.320623,97.000002,80.4,18.337136761469164,0.6873793940776747,390.48780242483934
1,1,1,False,0.7626258623593003,0.2373741376406997,False,0.2626258623593003,0.22150042409532342,3_0_0_3,14.07266862,0.421130461,1.477169215,2.320653762,Si1,PU,combo_001,50,453.5035953,990.9889222,0.000342667,0.046260011,1321.35237,122.000002,91.6,32.65779137438235,0.6220809524879581,435.4027292426497
1,1,0,True,0.30880894447278706,0.6911910555272129,False,0.19119105552721294,0.15479179574388086,2_1_3_1,13.17796418,0.758519157,2.924604865,1.271990099,Si1,PU,combo_001,51,400.198848,654.4348365,0.023381834,0.036193798,1168.236647,193.000002,91.4,16.762239961936654,2.218368816757899,390.194303070667
1,1,1,False,0.7854566269006682,0.2145433730993318,False,0.2854566269006682,0.27862268014909786,0_0_0_3,8.164473017,0.527850299,1.199367045,2.388855786,Si1,PU,combo_001,52,524.7220923,1045.366478,0.000194962,0.010332973,915.0013369,81.000002,63.8,19.50374860630133,0.6330862533139965,357.8658949449687
0,0,0,False,0.31817958342935526,0.6818204165706447,False,0.18182041657064474,0.16694085445235757,1_3_2_3,11.11842371,1.918921228,2.358213996,2.498981184,Si1,PU,combo_001,53,306.8175346,249.4133952,0.002419295,0.055437482,787.8580608,232.0,88.1,27.78473164702947,4.525226897091107,307.33222225649934
