Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolingLPM,TP_NoTP,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
19,10.01299435,ETI,1.380149899,1.436965893,29.94281407,0,137.3014992,128.7666445,131.1884532,202.4264398,-0.520175116,0.109874538,1321.045737,241.9,92.5,
20,15.05506446,ETI,2.112439727,2.260384028,1.03661592,0,125.8733286,117.3072457,124.8765416,175.2074052,-0.173260671,0.111147789,934.7157688,310.6,141.2,
1,14.6980689,ETI,1.426905015,1.38942203,26.99374678,1,126.2833,113.7478,121.8582,771.5286,-0.4780495,0.1069623,1425.339,195.4,103,Itr_3
2,14.86413542,ETI,1.416245911,1.224055053,4.65479322,1,125.0567,113.1689,117.1975,599.787,-0.1753012,0.1090133,1471.6,191.6,95.7,
3,10.71007665,ETI,1.379557158,2.888390077,24.20947854,1,130.7743,119.4364,129.1699,751.183,-0.4847646,0.1038156,1470.979,196.1,84.5,
4,15.25293574,ETI,1.470185616,1.644681283,10.27696122,1,129.7985,118.9437,127.8653,795.0471,-0.1804502,0.1040382,1437.18,208.8,99.7,
5,15.69091238,ETI,1.455609155,1.269577055,28.50121523,1,127.6090771,116.2953088,123.7169262,651.9717614,-0.179874321,0.110305172,1407.493201,204.900001,107.5,
6,13.55195178,ETI,1.392355232,1.508070557,28.71263076,1,126.9988766,113.9907956,122.8168357,844.6793765,-0.179435674,0.105314806,1449.729038,188.100001,98.5,
7,15.91651984,ETI,1.518225274,1.864640749,11.73339818,1,129.3648899,118.593891,128.174219,520.6418337,-0.177660523,0.110657688,1389.85733,223.200001,103.9,
8,13.84928706,ETI,1.388863176,1.340300927,29.87542716,1,125.0810257,111.6901132,119.0368588,815.516093,-0.184461959,0.104056814,1450.189351,185.700001,99.2,
9,13.2710437,ETI,1.378421642,1.455443088,26.90822441,1,127.8970723,115.1726478,123.4720314,813.8422822,-0.482690832,0.104911001,1465.080851,185.900001,97.6,
10,13.90778368,ETI,1.389757389,1.26773941,27.20154291,1,125.7218534,113.0350215,119.9403661,847.3394953,-0.180444015,0.105826315,1449.349957,191.400001,99.4,
11,13.81429229,ETI,1.400310329,1.464788225,18.14205635,1,128.6568022,117.1310037,124.8191061,556.917729,-0.174754124,0.109053993,1487.837021,204.200001,92.6,
12,12.56444967,ETI,1.461068128,2.983279487,16.34584575,0,144.2212835,130.7345479,139.3637838,206.0272786,-0.501790703,0.108469691,1425.801303,281.5,93.5,
13,14.47897361,ETI,1.54670135,2.890158073,1.064519418,0,139.2253332,129.5056031,136.9709175,206.8161025,-0.168832906,0.110175637,1360.198343,266.8,102.6,
14,14.28495583,ETI,1.568893916,2.994330846,5.253232146,0,139.1248641,129.2769054,137.0211232,204.4597521,-0.169312071,0.108108369,1340.749318,264.3,103.5,
15,12.03925152,ETI,1.43736847,2.774382553,29.6458973,1,136.1081853,126.460611,133.5330649,647.9169511,-0.494405078,0.110436078,1391.505064,254.600001,98.5,
17,10.40836201,ETI,1.337663415,1.919956357,26.41432133,1,135.3757482,125.8433126,132.050889,528.5893498,-0.497831883,0.110838253,1427.974376,238.800001,92.2,
