Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
5,19.18379991,Si1,1.935830282,PU,1.130739415,2.470047171,0,276.7264179,285.5957326,-0.004234005,0.052074475,1162.049566,,
6,18.93488317,Si1,1.792354675,Si1,1.1059533,2.3837459,0,281.3864638,291.6677127,-0.004177998,0.052196432,1185.960054,,
7,12.07595101,Si1,0.673006857,PU,2.209542808,1.465233089,1,284.1469935,912.7237972,-0.004391231,0.043034066,1308.005335,,
8,18.9437869,Si1,1.673908785,PU,1.206161229,1.804483838,0,277.8017799,288.0686057,-0.003251113,0.052208906,1212.252261,,
9,17.25148392,Si1,0.897664515,PU,2.697081818,1.377089234,1,350.6244305,862.4688292,-0.007176329,4.22E-04,1300.404797,,
10,19.90826747,Si1,1.974600797,PU,1.123563712,2.127102931,0,275.2028737,282.987977,-0.004397011,0.052093508,1172.689079,,
11,19.17532102,Si1,1.214162101,PU,2.360185989,1.738489526,1,326.3400628,588.1282216,-0.004232097,0.016458155,1279.717625,,
12,19.43078162,Si1,1.852785423,Si1,1.19200416,2.33759098,0,277.623097,286.9065075,-0.004289575,0.051937453,1172.135404,,
1,17.08872551,Si1,1.507737463,PU,1.149549258,2.279853303,0,284.2193726,295.8874427,-0.00961557,0.052120232,1203.303689,,
2,19.78547773,Si1,0.297883386,Si1,1.142998163,2.463807698,1,328.0434703,574.6486651,-0.001456461,0.043208343,1598.600064,,
3,17.23711223,Si1,0.690819111,Si1,2.982531148,0.51027474,0,283.5982781,300.1565848,-0.005483111,0.051928443,1311.985656,,
4,14.12141278,Si1,0.621715125,PU,2.965798819,0.80750309,0,283.3879578,303.0839304,-0.004470508,0.051991394,1310.644797,,
5,19.97626195,Si1,1.998303798,Si1,1.169055271,0.755127812,0,249.3173583,242.65465,-4.90E-04,0.052183594,1140.300786,,
6,12.13687993,Si1,1.40338775,PU,2.884900203,1.335458018,0,238.4498502,236.4958689,-0.008533888,0.052095936,1084.153763,,
1,12.37063637,Si1,0.480839244,Si1,1.421820408,0.65372795,0,288.8320034,324.8331212,-0.00450174,0.052310092,1369.955114,Itr_5,
2,15.58579456,Si1,0.75929662,PU,2.640098406,1.118621043,0,298.2445718,321.2627376,-0.003424454,0.052073651,1314.125335,,
3,17.36933331,Si1,1.070433137,PU,2.816644937,2.225466385,1,345.4721435,633.3646528,-0.007226415,0.007226415,1254.10983,,
