A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type
18.36012329,2.495568875,2.586978264,2.197455934,A2,Si1
16.39793089,0.90474678,2.998108391,1.921125329,A2,Si1
15.21706185,1.264748479,1.370694142,2.231449373,A2,Si1
13.91773178,0.586163781,2.342360793,2.23030935,A2,Si1
13.325388960000002,0.25141984,2.965475963,0.928642201,A2,Si1
18.60922658,1.573624499,2.8763941,0.601054926,A2,Si1
18.50427781,0.80950198,2.251241416,1.898859952,A2,Si1
15.40105985,1.111618543,1.944167876,1.354851032,A2,Si1
15.07703231,0.889844653,2.106930608,1.614585766,A2,Si2
15.70970948,0.937246511,2.984364221,1.727310428,A2,Si2
17.85341637,1.108812203,1.290500196,0.951601301,A2,Si2
17.60716613,1.38536366,1.705015885,2.493874902,A2,Si2
19.13440997,0.250044672,2.156395756,1.984433846,A2,Si2
12.037500635,0.483005596,2.224752046,2.481664322,A2,Si2
19.06551881,0.792431135,2.619083356,2.098009531,A2,Si2
18.21754631,0.741005884,2.809999751,1.052087859,A2,Si2
11.482002729000001,1.032523113,2.979355092,2.379547534,A2,Si2
11.940513603,2.351309017,2.033983308,2.350207744,A2,Si2
14.56678819,0.269594766,2.67899967,0.970795599,A2,Si3
12.657793089999998,1.942071446,2.935859878,1.66738732,A2,Si3
17.22813873,1.834821008,1.3552146,0.574194114,A2,Si3
18.12553128,0.713289296,2.450782088,1.264231188,A2,Si3
14.331598540000002,1.177040279,2.332549542,1.657828306,A2,Si3
17.79008182,1.685752139,1.888039528,2.15734973,A2,Si3
12.224323946999998,0.444930361,1.467825235,2.173479148,A2,Si3
16.22504411,0.632683605,2.515244585,2.289352106,A2,Si3
12.88595273,0.460922908,1.594305179,0.536013764,A2,Si3
11.713705903000001,2.257721311,1.90123993,2.49155864,A2,Si3
12.530331762,0.92178501,2.572407416,2.435898929,Si1,PU
15.452431270000002,0.416154442,2.50937448,1.494855071,Si1,PU
19.19784895,0.667901357,2.492686893,1.376815604,Si1,PU
15.64163864,0.87431184,1.487112643,0.726231897,Si1,PU
15.89018741,1.976248701,2.688905399,1.995830868,Si1,PU
17.95227176,1.330587296,2.440198501,2.499571875,Si1,PU
12.126764261000002,0.287865374,2.141233074,1.108963213,Si1,PU
14.42026667,1.554717213,2.910707618,1.08992363,Si1,PU
16.1369532,1.932013972,1.758421468,1.965142766,Si1,PU
15.291924170000001,0.37613187,1.606745417,2.48360419,Si1,PU
12.738944416999999,1.348770941,2.703690826,1.448279765,Si1,Si1
13.47337852,0.973973042,1.385962399,1.501055294,Si1,Si1
11.295980838999998,2.422238457,2.996686283,2.250783316,Si1,Si1
17.02056119,1.48485941,2.471032111,1.236515796,Si1,Si1
11.954637126000002,1.170279468,2.186339369,2.332032376,Si1,Si1
12.790926283000001,0.257290413,2.849357983,1.862492639,Si1,Si1
15.35001599,1.718240136,1.797872296,2.075085691,Si1,Si1
