lexicographic_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
6,combo_007,12.325496813847405,0.5069087961433858,2.9965212238956593,1.5432427358890328,A1,PU,0.47555351505342713,0.5244464849465729,387.5277059343684,1.4092436575307175,0.09617992207252656,1.017425706163641,0.024446484946572866,384.76558836560815,True,387.5277059343684,0.0,12-14,0.2191780821917808,17,nsga2,0.17906980813835335,0.9114368141115297,0.3994178875128701,0.7561941328518327,0.5294181745122315,medium,0.024446484946572866,0.8209301918616466
7,combo_010,13.094545956070117,1.0936220556851386,1.13582252161601,1.1103285407637455,A1,Si3,0.4585978895986216,0.5414021104013784,389.8384775924372,1.3684374421595928,0.1396405137106742,0.9275419262604793,0.04140211040137842,387.1563402058044,True,389.8384775924372,0.0,12-14,0.2191780821917808,17,nsga2,0.3104235239935754,0.9337550855476819,0.0,0.8505634690518594,0.5163592794198348,medium,0.04140211040137842,0.6895764760064246
8,combo_013,12.213811220181872,1.522371809795879,1.1320941938629854,1.3879054821807246,A2,Si2,0.45134315099153355,0.5486568490084665,374.48394287387055,2.274983539431644,0.039036476680397045,1.4476696643302573,0.04865684900846645,370.02497513658454,True,374.48394287387055,0.0,12-14,0.2191780821917808,17,nsga2,0.3666253359608992,0.43793498352912474,0.9245859393830497,0.3044792986515025,0.4902884453193874,medium,0.04865684900846645,0.6333746640391008
9,combo_011,13.138279961062398,1.3574963051652327,1.3087174886989845,2.3147596669076034,A2,PU,0.44140140226375024,0.5585985977362498,395.47631239366143,2.2090179200002718,0.03083068571631013,1.5116547639004405,0.05859859773624976,391.1466372704609,True,395.47631239366143,0.0,12-14,0.2191780821917808,17,nsga2,0.4436431753189366,0.4740137667863704,1.0,0.23730108941690842,0.5330744048100752,medium,0.05859859773624976,0.5563568246810634
10,combo_012,13.506017085359591,1.6225060318751023,1.132095478012651,1.4584118691783006,A2,Si1,0.41793780210792875,0.5820621978920713,386.1835155723983,2.6277473238856293,0.07864952768796138,1.5908311294392887,0.08206219789207125,381.03313081758245,True,386.1835155723983,0.0,12-14,0.2191780821917808,17,nsga2,0.6254135898650313,0.24499677980980716,0.560528282664613,0.1541735099283542,0.4276254734178788,low,0.08206219789207125,0.37458641013496874
1,combo_003,14.248039313810127,0.7407568540581062,2.6629800584620322,2.3082340082718114,Si2,PU,0.47896167129920286,0.5210383287007971,407.46483548372623,2.0083405388372078,0.04840951144893728,1.4085119205772856,0.021038328700797138,403.5284880276053,True,407.46483548372623,0.0,14-16,0.2602739726027397,21,nsga2,0.15266712613224984,0.5837708766570091,0.8384445039878414,0.3455911687691131,0.4480923332563254,low,0.021038328700797138,0.8473328738677501
2,combo_005,14.6139545132153,0.761121077614164,2.8491623415383867,0.6894013124004312,Si3,PU,0.47612770127003046,0.5238722987299695,405.9185958029914,2.686175808320187,0.10727877178245589,1.4076604506050296,0.023872298729969543,400.65369121868383,True,405.9185958029914,0.0,14-16,0.2602739726027397,21,nsga2,0.1746216388068987,0.2130403054503588,0.2974156151583526,0.3464851304623421,0.23648555781854402,low,0.023872298729969543,0.8253783611931013
3,combo_014,14.818676935587485,1.338572582817793,1.5170151075749394,0.7445642983155953,A2,Si3,0.473586690187652,0.526413309812348,406.2753312934558,1.488950091657579,0.10144135524344292,0.9059541969816396,0.026413309812348018,403.35698911380695,True,406.2753312934558,0.0,14-16,0.2602739726027397,21,nsga2,0.1943066246889804,0.8678427239497183,0.35106349464323994,0.8732285114466589,0.5295571114717055,medium,0.026413309812348018,0.8056933753110196
4,combo_006,15.710886241961033,1.0602077959358047,1.682490328666646,0.6944278014137748,Si3,Si3,0.4670226033374547,0.5329773966625453,421.449419897788,2.693068792128599,0.09649754198320985,1.6014021457604326,0.03297739666254529,416.1710050652159,True,421.449419897788,0.0,14-16,0.2602739726027397,21,nsga2,0.2451580191874029,0.20927030418359105,0.39649885054224143,0.14307495806214698,0.24934741178843867,low,0.03297739666254529,0.7548419808125971
5,combo_002,15.549175311971442,1.0533433147396816,1.6890625910728383,0.9020001200004348,Si1,Si1,0.4593624397854086,0.5406375602145914,412.1813804058952,2.6709051667265897,0.11224204278122829,1.6612228132920013,0.04063756021459142,406.9464062791111,True,412.1813804058952,0.0,14-16,0.2602739726027397,21,nsga2,0.3045006219891664,0.22139232538140285,0.25180143590397963,0.08026900250399571,0.2353935528670244,low,0.04063756021459142,0.6954993780108336
6,combo_008,15.100041394780874,1.0597670243563475,1.2438311285345551,1.7953385890292786,A1,Si1,0.4564570701436992,0.5435429298563008,419.5125990596753,2.550313014542367,0.13129757505175424,1.5346511735222683,0.043542929856300816,414.5139855511723,True,419.5125990596753,0.0,14-16,0.2602739726027397,21,nsga2,0.3270082610844451,0.2873481696330552,0.07667449542657212,0.21315706795570744,0.2479658015481429,low,0.043542929856300816,0.6729917389155549
7,combo_010,14.716521185392287,0.4811407498192102,2.7425406955233402,2.4762689670009195,A1,Si3,0.4552602005461637,0.5447397994538363,422.74243345792706,1.9473331816426105,0.1129560567906221,1.1859162251239443,0.044739799453836326,418.92566042190754,True,422.74243345792706,0.0,14-16,0.2602739726027397,21,nsga2,0.33628030294745265,0.6171378219884502,0.24523939989533172,0.5792952702604682,0.43878162314628005,low,0.044739799453836326,0.6637196970525474
8,combo_002,14.464319584566717,0.8413859876026792,2.524398339089067,0.7233127027769044,Si1,Si1,0.45057475656976465,0.5494252434302354,397.72893012446815,2.0335508645105773,0.09869253607784788,1.3156820635114705,0.049425243430235355,393.7431704300274,True,397.72893012446815,0.0,14-16,0.2602739726027397,21,nsga2,0.3725780189103309,0.5699825141182424,0.376326094688315,0.44305360304015096,0.4431203202477742,low,0.049425243430235355,0.6274219810896691
9,combo_002,14.68896411741481,1.0940186922537527,1.4745533461960025,1.4021564920879077,Si1,Si1,0.4452088442703115,0.5547911557296885,406.7763617078383,2.390712840187993,0.09194839782400968,1.450012491593391,0.05479115572968851,402.09056454106985,True,406.7763617078383,0.0,14-16,0.2602739726027397,21,nsga2,0.41414726218980236,0.3746387938701343,0.43830706072924586,0.3020195550371213,0.39030752532888846,low,0.05479115572968851,0.5858527378101976
10,combo_008,14.453722004052786,0.4610735794213507,2.8590245624301307,2.2614536399197354,A1,Si1,0.442775541472443,0.557224458527557,422.30555578195447,1.7361386602348003,0.13250519287045287,1.126487032003884,0.057224458527556976,418.9027240078943,True,422.30555578195447,0.0,14-16,0.2602739726027397,21,nsga2,0.4329978416127126,0.732647104379367,0.0655760694759201,0.6416902152848709,0.48071212206617414,medium,0.057224458527556976,0.5670021583872874
