TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 15,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,1,False,0.8599326144420729,0.14006738555792708,False,0.3599326144420729,0.27561180928316475,3_0_0_3,14.60563961,0.576102125,1.497745196,2.176970275,Si1,Si1,combo_002,11,438.9802119,826.7097587,-0.000355991,0.045922839,1341.222838,153.000002,96.1,,31.796043278332593,0.8628541901241414,428.71630956897303
0,0,0,False,0.16847211277513452,0.8315278872248655,False,0.3315278872248655,0.2636436344576131,2_2_2_3,13.90415651,1.312493418,2.087070714,2.039159669,Si1,Si1,combo_002,12,368.8299465,264.8468124,-0.000338454,0.055164774,1060.390594,248.8,98.3,,28.352795186655797,2.7392665750255607,370.1763934678608
1,1,1,False,0.853019295034187,0.14698070496581295,False,0.35301929503418705,0.34573622793973424,3_0_2_1,14.17510608,0.534711624,2.273982901,1.277394359,Si1,Si1,combo_002,13,416.1134935,612.087796,0.005178416,0.045224835,1240.548266,161.000002,94.6,,18.107200544818603,1.2159250899419414,412.9533415793603
0,0,1,True,0.5241290585324734,0.4758709414675266,True,0.02412905853247338,0.15883741476858193,2_0_3_3,12.74537761,0.603772511,2.67494356,2.357745042,Si1,Si1,combo_002,14,391.8885594,283.4656292,0.001547422,0.055294116,1115.014304,219.7,89.9,,30.05035086839531,1.6150573900044791,392.20239567381816
0,0,0,False,0.11787880591714384,0.8821211940828562,False,0.38212119408285616,0.2653238986975748,2_2_1_0,13.67323083,1.430206758,1.681918017,0.793759527,Si1,Si1,combo_002,15,355.0483223,263.8488818,-0.000332681,0.055362502,1025.726722,227.7,98.4,,10.853257236182616,2.405490514315359,350.4176198256615
0,0,0,False,0.2068268107464064,0.7931731892535936,False,0.2931731892535936,0.24479863519757927,0_2_3_3,9.734218718,1.106563443,2.964493922,2.107040438,Si1,Si1,combo_002,16,320.9208067,269.2131505,0.001639439,0.055386249,833.1507021,205.2,79.8,,20.510392471162515,3.2804006010808933,321.57868793931516
0,0,0,False,0.3431172752239604,0.6568827247760396,False,0.1568827247760396,0.17704175640822128,1_1_2_3,11.06043499,0.716487261,2.417900697,2.413725059,Si1,Si1,combo_002,17,367.3744497,281.8648987,0.002406247,0.055288157,996.4057561,203.4,83.7,,26.696849098803412,1.7323950477635208,369.03456159125824
1,1,1,False,0.7689086302560781,0.23109136974392186,False,0.26890863025607814,0.1798549951227679,3_0_2_2,15.35383832,0.544031315,2.509681522,1.935135943,Si1,Si1,combo_002,18,425.843092,595.7586604,-0.000374696,0.043839432,1315.496693,201.000002,99.5,,29.711764396042735,1.3653453386448615,429.61716627726526
0,0,1,True,0.5313114140619248,0.46868858593807516,True,0.031311414061924836,0.29365285756650134,3_1_3_0,15.6745359,0.813802406,2.602200713,0.920053039,Si1,Si1,combo_002,19,411.9133026,267.2851061,-0.000382714,0.055305372,1258.147672,237.6,103.0,,14.4214043897096,2.1176772011343155,403.2090383190898
0,0,0,False,0.17714223021437192,0.8228577697856281,False,0.3228577697856281,0.2457561957305822,1_3_3_2,11.63464243,1.533137868,2.722728361,1.899891878,Si1,Si1,combo_002,20,319.9300363,252.8751355,-0.00140858,0.055358173,853.1324869,241.3,89.2,,22.104562656191185,4.174317954526675,317.3676586370359
1,1,1,False,0.8675759166417265,0.1324240833582735,False,0.3675759166417265,0.3172848762764347,0_0_1_1,9.066963291,0.356830269,1.675784591,1.426011047,Si1,Si1,combo_002,21,373.658858,1016.57922,0.000217524,0.050683092,998.3111901,97.000002,75.3,,12.929589815709477,0.5979706663925849,367.4260445697691
1,1,1,False,0.8797235265831205,0.12027647341687953,False,0.3797235265831205,0.2249373928044484,2_0_2_3,13.44377164,0.524190542,2.177472834,2.44656053,Si1,Si1,combo_002,22,416.4509439,576.5903564,0.005558052,0.040214143,1197.614027,181.000002,91.7,,32.89100106875737,1.1414106650447362,411.245627473815
1,1,1,False,0.5564133280451671,0.4435866719548329,True,0.05641332804516708,0.18204246307367944,1_1_0_3,10.80084342,0.912411599,1.343782688,2.261104933,Si1,Si1,combo_002,23,366.059186,1039.822171,0.000260871,0.044087199,997.6339585,178.000002,85.1,,24.42184033752259,1.226082911066598,366.64629699034595
0,0,0,False,0.0853251972595217,0.9146748027404783,False,0.4146748027404783,0.18856144396695934,2_1_3_3,12.30159856,0.715282625,2.940733777,2.072978251,Si1,Si1,combo_002,24,375.5484356,278.5370375,0.00149195,0.055201877,1060.802263,219.5,89.6,,25.500946267412917,2.1034557754387246,376.99220682977233
0,0,0,False,0.3503490137478593,0.6496509862521407,False,0.14965098625214068,0.4382823157006302,0_3_0_2,8.804015526,1.718643963,1.44311328,1.788289259,Si1,Si1,combo_002,25,282.2767013,254.6679107,0.000210951,0.055384516,708.3246173,193.3,78.0,,15.744126401215036,2.480197926597129,293.8130644255759
1,1,1,False,0.6520343405405242,0.3479656594594758,False,0.15203434054052423,0.22589784938409407,2_0_1_2,12.95300209,0.663049437,2.020375241,1.851985386,Si1,Si1,combo_002,26,398.8717811,876.1019323,-0.02926478,0.034928931,1145.817225,198.000002,91.4,,23.988770575507456,1.3396086660737891,394.6630631097548
1,1,1,False,0.805403646527111,0.19459635347288895,False,0.30540364652711105,0.26468309217244096,3_0_3_2,15.79123856,0.481187399,2.845225084,1.563168353,Si1,Si1,combo_002,27,424.7622051,502.9923744,-0.000385631,0.045118827,1350.684489,209.0,98.7,,24.684364371665293,1.3690864577395165,434.6454688723156
1,1,1,False,0.8746568346716685,0.12534316532833145,False,0.37465683467166855,0.1427497253568273,0_0_0_0,8.676972128,0.670483415,1.141385036,0.769348326,Si1,Si1,combo_002,28,352.3398792,1017.748127,0.000207774,0.046333658,900.5175397,104.000002,69.0,,6.675613981425458,0.7652797367671779,346.9996344092204
1,1,1,False,0.9367457118680704,0.06325428813192957,False,0.43674571186807043,0.18270168294789707,1_0_1_2,10.06483844,0.562212303,1.834377388,1.998515708,Si1,Si1,combo_002,29,373.8214215,690.9013582,0.001212355,0.041462541,1000.835136,128.000002,79.0,,20.114737720822216,1.0313095358786046,368.81246131607884
1,1,1,False,0.9067193321471905,0.09328066785280953,False,0.40671933214719047,0.25672953805925713,0_0_3_3,9.210980778,0.449744915,2.983407577,2.397904206,Si1,Si1,combo_002,30,364.0247565,934.5097383,-0.007739358,0.039581286,964.7751065,128.000002,73.0,,22.087049548951352,1.341772387128221,357.4566723924979
0,0,0,False,0.43557608528416836,0.5644239147158316,True,0.06442391471583164,0.6340933924337079,0_3_3_0,8.540852329,1.894713891,2.991164587,0.682360961,Si1,PU,combo_001,31,260.6085904,245.6235052,0.000613114,0.055340119,659.0712242,191.9,75.9,,5.8279442029755275,5.667401093256179,268.8294392240098
1,1,0,True,0.3547015473602073,0.6452984526397927,False,0.14529845263979269,0.2316912232311815,1_1_2_1,11.84377741,0.778702408,2.527897094,1.155674827,Si1,PU,combo_001,32,380.015393,525.5589688,-0.024964165,0.039311386,1087.597312,175.000002,85.5,,13.687555409328256,1.9684795542740023,378.1201693270053
