TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred,oof_Time_MaxT_pred
1,1,1,False,0.998339831829071,0.001660168170928955,False,0.49833983182907104,0.12894542288840602,1_0_1_1,12.92913101,1.200930259,2.042271595,10.28808177,ETI,combo_001,29,118.91894,101.4152705,113.8471016,687.7833453,-0.203833494,0.093426761,1760.032955,128.500001,81.6,,26.40479700975666,151.7693948581363,133.86095870840924,140.76361577311286,-0.37886662723348197,0.11282256955654137,1718.5849824223242,245.81270911453487
0,0,0,False,0.04536080360412598,0.954639196395874,False,0.454639196395874,0.12003239703839946,1_0_2_0,12.72625237,1.478698659,2.136225419,5.013696117,ETI,combo_001,30,139.9672219,129.5725131,135.5075955,202.8042662,-0.500975981,0.110307988,1399.09162,247.3,94.1,,27.18614380140299,139.78404244813058,129.19150873503105,135.6155484666459,-0.4981112681835873,0.11085783599043988,1398.22115872063,252.23070750948682
0,0,0,False,1.577812508912757e-05,0.9999842218749109,False,0.4999842218749109,0.13512858804121444,1_1_1_3,12.48968121,1.65853431,1.6786106,28.0990017,ETI,combo_001,31,133.2529062,126.1137635,130.6186557,190.5235579,-0.494677424,0.111365092,1142.369311,264.9,112.3,,20.96531126972683,131.8077163285435,124.6124455260795,128.9103547523281,-0.5044147943975237,0.11031502424047011,1144.5189383865327,262.1413436464595
0,0,0,False,2.682861932612468e-08,0.9999999731713807,False,0.4999999731713807,0.2821621094617264,1_3_2_0,12.59646442,2.779203713,2.467661829,0.456843482,ETI,combo_001,32,118.5720215,109.9092169,116.6232328,147.7749205,-0.176604796,0.111585332,629.2225015,377.3,154.9,,31.083814429590625,117.61935254587546,109.30375639163982,116.12166461826399,-0.38432721321180624,0.11199788170410024,626.796297218474,376.15145249795876
0,0,0,False,0.0032075580675154924,0.9967924419324845,False,0.4967924419324845,0.12711077189733314,2_1_0_0,13.59015313,1.501512065,1.447954045,2.04826547,ETI,combo_001,33,135.7240892,128.5528372,131.3544061,201.9387965,-0.167427616,0.113634816,1374.151635,242.4,97.2,,19.677917196752908,136.0277256665351,128.4587566110332,131.1920003037488,-0.2995053214300444,0.1132825757379871,1377.4483444223779,242.41622495579688
0,0,0,False,3.873051355185453e-06,0.9999961269486448,False,0.4999961269486448,0.12309455139212774,2_1_1_0,13.00527803,1.727866034,1.985786039,1.732489253,ETI,combo_001,34,130.8606287,123.1317249,129.606657,188.1894146,-0.496930479,0.109268691,1165.750455,263.5,112.5,,25.82569954528742,131.27708277478172,123.70643668235927,129.4835182482725,-0.46201261695295626,0.10926697789978923,1168.7656378800482,262.0882745658
0,0,0,False,0.012997470796108246,0.9870025292038918,False,0.48700252920389175,0.24939047305241596,0_0_0_2,11.28318555,1.35462068,1.610089625,15.66181976,ETI,combo_001,35,144.3751341,131.0303731,134.9232834,205.8155927,-0.515159906,0.111606002,1508.412612,251.5,84.3,,18.16693999100492,142.4926633189216,130.68646687204023,134.38073005703694,-0.4491380707449997,0.11228068968094938,1504.8625802620816,242.63422723960386
0,0,0,False,0.00013185731950215995,0.9998681426804978,False,0.49986814268049784,0.15189913374545583,2_1_0_0,13.28419466,1.739597821,1.563146092,0.639091823,ETI,combo_001,36,131.2136214,124.3456056,129.3294011,187.035611,-0.494149595,0.111389002,1158.988633,263.5,113.3,,20.76513696814627,129.66123278143326,123.20607604448107,126.93277401865059,-0.2524309566183669,0.1110468656443036,1153.8971858192447,258.48017892231275
1,1,1,False,0.998404324054718,0.0015956759452819824,False,0.498404324054718,0.10437426842009714,2_0_1_0,14.22952623,1.287640737,1.787067237,6.229099074,ETI,combo_001,37,121.5992608,105.4636897,118.2500353,790.7929896,-0.19074827,0.097624115,1652.554364,145.400001,87.8,,25.429120123665125,147.8385741898911,132.7897276718358,137.86167481423473,-0.3788834335014924,0.11636666463973165,1621.325611347565,240.01920794853837
1,1,1,False,0.9999673962593079,3.260374069213867e-05,False,0.49996739625930786,0.09749836405931425,2_0_1_0,14.1017874,1.341482752,2.095596936,2.950140069,ETI,combo_001,38,120.5991325,105.0478561,117.9771069,787.9494829,-0.47018333,0.100954274,1574.540059,159.500001,91.3,,29.551662467563407,146.99785988968952,132.14370900379794,139.2211137963909,-0.09387678587344839,0.11427907013721184,1570.206904974507,247.80905947488168
