TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred
0.0,0,0,False,0.07980438145318658,0.9201956185468134,False,0.4201956185468134,0.20844502364670495,1_1_2_0,11.84709055,1.844776281,2.20888605,5.321620453,ETI,combo_001,49.0,130.2486697,121.5177486,129.1981475,180.1714856,-0.496008237,0.108604612,1063.872438,273.2,115.4,,26.168873048981826,129.07631530734682,120.08382319329269,127.64717968655991,-0.42934225823529415,0.10774002268364026,1061.157386242661
1.0,1,1,False,0.9635869764919107,0.03641302350808928,False,0.4635869764919107,0.164264784526583,3_0_0_1,14.34698268,1.259593513,1.530310136,8.56371923,ETI,combo_001,50.0,119.9519021,103.7471295,114.6604385,538.1958972,-0.203547342,0.097719549,1684.56382,140.200001,87.5,,21.955333016220443,144.00655761759796,132.99454497370724,136.93218472854215,-0.4298448492028893,0.11194470388833494,1662.1853507715914
0.0,0,0,False,0.30014783504498155,0.6998521649550185,False,0.19985216495501845,0.2356921467806825,0_3_1_3,10.76713335,2.65734778,1.708659771,27.2075438,ETI,combo_001,51.0,116.2673587,107.706075,111.6650804,144.9339801,-0.489517303,0.113012896,609.6769197,356.2,120.6,,18.39736760413746,116.9102147867859,107.33257837220845,110.71139325875272,-0.42934225823529415,0.10727434845904447,623.087864119462
0.0,0,0,False,0.11423229046147299,0.885767709538527,False,0.385767709538527,0.16415484760549962,1_1_0_0,12.64840794,1.950624787,1.586906288,2.631555019,ETI,combo_001,52.0,127.1701666,118.3939661,123.6960732,175.5125165,-0.492224256,0.110157166,995.5813093,281.9,122.5,,20.071838093175128,125.48043526981019,118.00341804952066,123.49226827174283,-0.42934225823529415,0.11064109222991145,992.6774062518791
0.0,0,0,False,0.05894806129344943,0.9410519387065506,False,0.4410519387065506,0.10862076246930848,1_0_1_0,12.97830343,1.509045457,1.927776525,0.350262839,ETI,combo_001,53.0,136.3677307,128.2742501,132.7412609,201.8713448,-0.498151284,0.110796337,1360.977366,248.9,95.7,,25.01926868668098,137.3037924530045,128.46751599413065,132.75325311429026,-0.49738268111268125,0.110843882309313,1372.2585530195456
1.0,1,1,False,0.9626149280784375,0.037385071921562485,False,0.4626149280784375,0.3066326142913038,2_0_3_2,13.94898428,1.273556292,2.652977911,14.97391443,ETI,combo_001,54.0,118.6686711,101.5547449,116.3554877,789.0604078,-0.200362716,0.097396175,1675.920468,141.600001,86.8,,37.00634717572623,147.48138177171393,134.9849232556333,141.19460963629732,-0.46006673646503327,0.11454219100037698,1661.568222211216
1.0,1,1,False,0.9549802934401441,0.04501970655985588,False,0.4549802934401441,0.27710504738187947,1_0_0_3,12.53373158,1.247558002,1.401437673,24.98180722,ETI,combo_001,55.0,122.9402947,106.541116,114.712342,647.5336324,-0.458771669,0.099288215,1619.206972,142.700001,88.5,,17.565243619481812,140.65486000991652,132.01024033589533,131.89482871687017,-0.49068823909458414,0.11242713948861655,1518.1210529037376
0.0,0,0,False,0.37088640697658093,0.6291135930234191,False,0.12911359302341907,0.31021662593018795,2_3_1_1,13.0687814,2.954513614,1.805063186,7.397919162,ETI,combo_001,56.0,113.6902564,106.0681158,109.8411889,141.7921046,-0.488240839,0.117323029,585.3439461,394.5,162.9,,23.58997619102154,114.40622945710425,108.2586256134736,111.96600850918317,-0.3201966537400017,0.12862193742466674,608.0708326448447
0.0,0,0,False,0.16357153199282948,0.8364284680071705,False,0.3364284680071705,0.2535921713239621,0_2_3_0,10.36767759,2.101450004,2.744200514,1.388242365,ETI,combo_001,57.0,125.6257263,114.7994426,123.7868328,167.5242308,-0.498403245,0.106988465,859.83201,296.2,121.8,,28.45098617146428,125.27302788119655,115.17043066449858,124.9427218550117,-0.4750958194963802,0.10801077808469692,869.6742453115749
1.0,1,1,False,0.8686714707074543,0.13132852929254568,False,0.3686714707074543,0.14101243544091893,2_0_2_0,13.78643865,1.365638359,2.052447613,6.79220526,ETI,combo_001,58.0,123.9668897,108.6053277,121.4010437,780.1174093,-0.186819058,0.100619216,1541.077717,167.700001,90.7,,28.29594309896344,141.74722685975394,132.28698893789712,136.79859776061363,-0.42934225823529415,0.11303788506634731,1498.8578055666728
